run_id,vehN,pCAV,seed,mean_flow(veh/h),max_flow(veh/h),mean_speed(m/s),det_xml
vehN10_p000_seed1,10,0.0,1,312.000,540.000,27.671,out/vehN10_p000_seed1_e1.xml
vehN20_p000_seed1,20,0.0,1,614.400,900.000,27.720,out/vehN20_p000_seed1_e1.xml
vehN30_p000_seed1,30,0.0,1,895.200,960.000,27.688,out/vehN30_p000_seed1_e1.xml
vehN40_p000_seed1,40,0.0,1,1039.200,1080.000,27.717,out/vehN40_p000_seed1_e1.xml
vehN50_p000_seed1,50,0.0,1,1047.600,1140.000,27.697,out/vehN50_p000_seed1_e1.xml
vehN60_p000_seed1,60,0.0,1,1045.200,1140.000,27.707,out/vehN60_p000_seed1_e1.xml
vehN70_p000_seed1,70,0.0,1,1051.200,1140.000,27.666,out/vehN70_p000_seed1_e1.xml
vehN80_p000_seed1,80,0.0,1,1051.200,1080.000,26.039,out/vehN80_p000_seed1_e1.xml
vehN90_p000_seed1,90,0.0,1,1053.600,1080.000,27.170,out/vehN90_p000_seed1_e1.xml
vehN100_p000_seed1,100,0.0,1,1059.600,1140.000,18.109,out/vehN100_p000_seed1_e1.xml
vehN110_p000_seed1,110,0.0,1,1062.000,1140.000,19.500,out/vehN110_p000_seed1_e1.xml
vehN120_p000_seed1,120,0.0,1,1052.400,1140.000,23.627,out/vehN120_p000_seed1_e1.xml
vehN10_p005_seed1,10,0.05,1,312.000,540.000,27.671,out/vehN10_p005_seed1_e1.xml
vehN20_p005_seed1,20,0.05,1,626.400,780.000,27.711,out/vehN20_p005_seed1_e1.xml
vehN30_p005_seed1,30,0.05,1,903.600,1020.000,27.733,out/vehN30_p005_seed1_e1.xml
vehN40_p005_seed1,40,0.05,1,1058.400,1140.000,27.758,out/vehN40_p005_seed1_e1.xml
vehN50_p005_seed1,50,0.05,1,1064.400,1140.000,27.765,out/vehN50_p005_seed1_e1.xml
vehN60_p005_seed1,60,0.05,1,1064.400,1140.000,26.860,out/vehN60_p005_seed1_e1.xml
vehN70_p005_seed1,70,0.05,1,1068.000,1200.000,27.001,out/vehN70_p005_seed1_e1.xml
vehN80_p005_seed1,80,0.05,1,1074.000,1200.000,27.366,out/vehN80_p005_seed1_e1.xml
vehN90_p005_seed1,90,0.05,1,1065.600,1140.000,27.589,out/vehN90_p005_seed1_e1.xml
vehN100_p005_seed1,100,0.05,1,1068.000,1140.000,27.230,out/vehN100_p005_seed1_e1.xml
vehN110_p005_seed1,110,0.05,1,1082.400,1260.000,19.902,out/vehN110_p005_seed1_e1.xml
